000002374000,-0.0,0.1,0.2,8.0,0.3,5.7
000002498000,-0.0,0.1,0.1,8.0,0.3,6.1
000002557000,0.0,0.1,0.1,7.1,0.6,6.2
000002612000,0.0,0.0,0.2,7.1,0.7,5.6
000002662000,-0.0,-0.1,0.2,8.5,0.2,5.9
000002712000,0.0,-0.1,0.1,8.7,-0.3,6.0
000002763000,0.1,-0.0,0.0,8.3,-0.3,5.8
000002811000,0.1,0.1,0.0,8.2,-0.3,5.7
000002863000,0.1,0.1,0.1,7.6,0.0,5.8
000002912000,0.1,0.0,0.1,7.9,0.2,5.8
000002961000,0.1,-0.0,0.1,7.9,0.2,5.7
000043642000,0.1,-0.0,0.1,7.8,0.2,5.4
000043758000,0.1,0.0,0.1,7.6,0.2,5.5
000135058000,0.1,0.0,0.1,7.8,0.1,5.4
000135199000,0.1,0.1,0.0,7.9,0.1,5.3
000135255000,0.1,0.1,0.0,7.8,0.1,5.6
000135339000,0.0,0.0,0.0,7.7,0.2,5.8
000135397000,-0.0,-0.0,0.0,7.7,0.1,5.8
000162786000,-0.0,-0.0,0.0,7.8,0.1,5.7
000172119000,-0.0,0.0,0.0,7.8,0.1,5.9
000189924000,0.0,0.0,0.0,7.9,0.1,6.0
000210164000,0.0,0.0,0.0,7.7,0.2,5.8
000226252000,0.0,-0.0,0.0,7.8,0.2,5.8
000245991000,0.0,-0.0,0.0,7.7,0.2,5.7
000271322000,0.1,0.0,0.0,7.8,0.2,5.7
000285757000,0.0,0.0,0.0,7.8,0.2,5.6
000308925000,0.0,-0.0,0.0,7.9,0.2,5.7
000328272000,0.0,0.0,0.0,7.9,0.3,5.6
000345829000,0.0,0.0,0.0,7.8,0.3,5.7
000375065000,0.0,-0.0,0.0,8.0,0.3,5.8
000387469000,0.0,-0.0,0.0,7.9,0.2,5.8
000406464000,0.0,-0.1,0.0,7.9,0.2,5.8
000425966000,0.1,-0.1,-0.0,7.9,0.1,5.8
000448761000,0.1,-0.0,-0.0,7.8,0.1,5.7
000483023000,0.1,0.0,-0.0,7.8,0.1,5.7
000486618000,0.1,0.0,-0.0,7.8,0.1,5.5
000512475000,0.0,0.0,0.0,7.8,0.1,5.6
000527304000,0.0,0.0,0.0,7.8,0.1,5.7
000547342000,0.0,0.0,0.0,7.8,0.1,5.7
000585759000,-0.0,0.0,0.0,7.8,0.1,5.7
000587263000,-0.0,0.0,0.0,7.8,0.2,5.8
000618656000,0.0,0.0,0.0,7.7,0.2,5.7
000629129000,-0.0,0.1,0.0,7.8,0.2,5.8
000650752000,0.0,0.1,0.0,7.7,0.2,5.8
000682124000,0.0,0.1,0.0,7.7,0.2,5.8
000687926000,0.0,0.1,0.0,7.7,0.3,5.7
000715889000,0.0,0.1,0.0,7.8,0.3,5.7
000727078000,-0.0,0.1,0.0,7.8,0.2,5.7
000749837000,-0.0,0.1,0.0,7.8,0.2,5.7
000784799000,-0.0,0.1,0.0,7.7,0.2,5.8
000786670000,-0.0,0.1,0.0,7.8,0.2,5.9
000820084000,0.0,0.1,0.0,7.8,0.2,5.9
000826914000,0.0,0.1,-0.0,7.7,0.3,5.8
000860233000,0.0,0.1,0.0,7.8,0.3,5.8
000886129000,0.0,0.1,-0.0,7.7,0.3,5.6
000886752000,0.0,0.1,-0.0,7.6,0.2,5.7
000918838000,0.0,0.1,-0.0,7.7,0.2,5.7
000929132000,0.0,0.1,-0.1,7.7,0.3,5.9
000947633000,0.1,0.1,-0.1,7.6,0.3,6.0
000986482000,0.1,0.1,-0.1,7.6,0.2,6.0
000987847000,0.1,0.1,-0.1,7.6,0.2,5.7
001017557000,0.1,0.1,-0.1,7.5,0.2,5.9
001026956000,0.1,0.2,-0.1,7.6,0.2,6.1
001065143000,0.1,0.2,-0.1,7.6,0.3,6.2
001066688000,0.2,0.1,-0.1,7.6,0.3,6.1
001086628000,0.2,0.1,-0.2,7.5,0.3,5.8
001129147000,0.2,0.1,-0.2,7.3,0.4,5.7
001129428000,0.2,0.1,-0.3,7.3,0.6,5.9
